,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
0,1,Walmart,572754.0,2.4,13673.0,1.2,244860.0,409795.0,-,2300000,1,1
1,2,Amazon,469822.0,21.7,33364.0,56.4,420549.0,1658807.3,-,1608000,1,1
2,3,Apple,365817.0,33.3,94680.0,64.9,351002.0,2849537.6,-,154000,1,1
3,4,CVS Health,292111.0,8.7,7910.0,10.2,232999.0,132839.2,-,258000,1,1
4,5,UnitedHealth Group,287597.0,11.8,17285.0,12.2,212206.0,479830.3,-,350000,1,1
6,7,Berkshire Hathaway,276094.0,12.5,89795.0,111.2,958784.0,779542.3,-1,372000,1,1
7,8,Alphabet,257637.0,41.2,76033.0,88.8,359268.0,1842326.1,1,156500,1,0
8,9,McKesson,238228.0,3.1,-4539.0,-604.3,65015.0,45857.8,-2,67500,0,1
10,11,Costco Wholesale,195929.0,17.5,5007.0,25.1,59268.0,255230.7,1,288000,1,0
11,12,Cigna,174078.0,8.5,5365.0,-36.6,154889.0,76286.3,1,72963,1,0
13,14,Microsoft,168088.0,17.5,61271.0,38.4,333779.0,2311358.9,1,181000,1,0
16,17,Home Depot,151157.0,14.4,16433.0,27.7,71876.0,309312.6,1,490600,1,0
17,18,Walgreens Boots Alliance,148579.0,6.5,2542.0,457.5,81285.0,38671.1,-2,258500,1,1
19,20,Elevance Health,138639.0,13.8,6104.0,33.5,97460.0,118533.5,3,98200,1,0
20,21,Kroger,137888.0,4.1,1655.0,-36.0,49086.0,41496.2,-4,420000,1,1
22,23,Verizon Communications,133613.0,4.1,22065.0,24.0,366596.0,213837.1,-3,118400,1,1
23,24,JPMorgan Chase,127202.0,-1.8,48334.0,65.9,3743567.0,402526.9,-5,271025,1,1
24,25,General Motors,127004.0,3.7,10019.0,55.9,244718.0,63555.2,-3,157000,1,1
25,26,Centene,125982.0,13.4,1347.0,-25.5,78375.0,49072.2,-2,72500,1,1
26,27,Meta Platforms,117929.0,37.2,39370.0,35.1,165987.0,605251.0,7,71970,1,0
27,28,Comcast,116385.0,12.4,14159.0,34.4,275905.0,212245.8,-2,189000,1,1
30,31,Dell Technologies,106995.0,13.6,5563.0,71.2,92735.0,38164.4,-3,133000,1,1
31,32,Target,106005.0,13.3,6946.0,59.0,53811.0,98134.4,-2,450000,1,1
32,33,Fannie Mae,101543.0,-4.6,22176.0,87.9,4229166.0,909.1,-8,7400,1,1
33,34,UPS,97287.0,15.0,12890.0,859.8,69405.0,186816.6,1,400945,1,0
34,35,Lowe's,96250.0,7.4,8442.0,44.7,44640.0,133761.1,-4,270000,1,1
35,36,Bank of America,93851.0,0.1,31978.0,78.7,3169495.0,332433.3,-7,208248,1,1
36,37,Johnson & Johnson,93775.0,13.6,20878.0,41.9,182018.0,466046.7,-1,141700,1,1
37,38,Archer Daniels Midland,85249.0,32.5,2709.0,52.9,56136.0,50769.2,13,39979,1,0
38,39,FedEx,83959.0,21.3,5231.0,306.8,82777.0,59971.3,6,484000,1,0
39,40,Humana,83064.0,7.7,2933.0,-12.9,44358.0,55154.9,1,95500,1,0
40,41,Wells Fargo,82407.0,2.6,21548.0,552.8,1948068.0,184225.0,-4,247848,1,1
42,43,Pfizer,81288.0,94.0,21979.0,128.6,181476.0,292385.3,34,79000,1,0
43,44,Citigroup,79865.0,-10.1,21952.0,98.7,2291413.0,105330.1,-11,221768,1,1
44,45,PepsiCo,79474.0,12.9,7618.0,7.0,92377.0,231528.2,-1,309000,1,1
45,46,Intel,79024.0,1.5,19868.0,-4.9,168406.0,202635.8,-6,121100,1,1
46,47,Procter & Gamble,76118.0,7.3,14306.0,9.8,119307.0,366271.6,-4,101000,1,1
47,48,General Electric,74196.0,-6.8,-6520.0,-214.3,198874.0,100810.2,-10,168000,0,1
48,49,IBM,72344.0,-1.7,5743.0,2.7,132001.0,116928.3,-7,297800,1,1
49,50,MetLife,71080.0,4.8,6554.0,21.2,759708.0,57986.5,-4,43000,1,1
51,52,Albertsons,69690.4,11.6,850.2,82.3,26598.0,16063.7,-,300000,1,1
54,55,Lockheed Martin,67044.0,2.5,6315.0,-7.6,50873.0,117648.2,-6,114000,1,1
55,56,Freddie Mac,65898.0,-0.5,12109.0,65.3,3025586.0,510.3,-9,7301,1,1
56,57,Goldman Sachs Group,64989.0,21.5,21635.0,128.7,1463988.0,117667.6,2,43900,1,0
58,59,HP,63487.0,12.1,6503.0,128.7,38610.0,38237.2,-3,51000,1,1
60,61,Morgan Stanley,61121.0,17.4,15034.0,36.7,1188140.0,155685.6,-,74814,1,1
61,62,HCA Healthcare,58752.0,14.0,6956.0,85.3,50742.0,75691.9,-,244000,1,1
62,63,AbbVie,56197.0,22.7,11542.0,150.0,146529.0,286332.4,5,50000,1,0
63,64,Dow,54968.0,42.6,6311.0,415.2,62990.0,46839.7,18,35700,1,0
64,65,Tesla,53823.0,70.7,5519.0,665.5,62131.0,1113707.8,35,99290,1,0
65,66,Allstate,53228.0,18.8,1599.0,-71.3,99440.0,38553.7,4,54500,1,0
67,68,Best Buy,51761.0,9.5,2454.0,36.5,17504.0,20473.2,-2,81375,1,1
68,69,Charter Communications,51682.0,7.5,4654.0,44.4,142491.0,112803.4,-5,93700,1,1
69,70,Sysco,51297.8,-3.0,524.2,143.3,21413.5,41433.1,-10,57710,1,1
70,71,Merck,51216.0,6.7,13049.0,84.6,105694.0,207400.5,-6,67500,1,1
72,73,Caterpillar,50971.0,22.1,6489.0,116.4,82793.0,119406.6,5,107700,1,0
73,74,Cisco Systems,49818.0,1.0,10591.0,-5.6,97497.0,231636.4,-11,79500,1,1
74,75,TJX,48550.0,51.1,3282.8,3528.6,28461.5,71195.3,22,340000,1,0
78,79,Progressive,47702.0,11.8,3350.9,-41.3,71132.3,66670.3,-5,49077,1,1
80,81,Tyson Foods,47049.0,8.9,3047.0,47.8,36309.0,32487.8,-8,137000,1,1
82,83,Nike,44538.0,19.1,5727.0,125.6,37740.0,212779.1,2,73300,1,0
83,84,Deere,44024.0,23.9,5963.0,116.8,84114.0,127456.6,4,75550,1,0
84,85,American Express,43663.0,14.3,8060.0,157.1,188548.0,141613.0,-2,64000,1,1
85,86,Abbott Laboratories,43075.0,24.5,7071.0,57.3,75196.0,208725.8,3,113000,1,0
86,87,StoneX Group,42534.2,-21.4,116.3,-31.4,18839.6,1494.4,-29,3242,1,1
88,89,Enterprise Products Partners,40806.9,50.0,4637.7,22.8,67525.6,56172.4,16,6911,1,0
90,91,Oracle,40479.0,3.6,13746.0,35.6,131107.0,220736.6,-11,132000,1,1
91,92,Thermo Fisher Scientific,39211.0,21.7,7725.0,21.2,95123.0,231057.4,3,129000,1,0
92,93,Coca-Cola,38655.0,17.1,9771.0,26.1,94354.0,268769.7,-,79000,1,1
93,94,General Dynamics,38469.0,1.4,3257.0,2.8,50073.0,67081.0,-10,103100,1,1
97,98,Nucor,36483.9,81.2,6827.5,846.3,25823.1,39954.0,51,28800,1,0
98,99,Exelon,36347.0,10.0,1706.0,-13.1,133013.0,46683.9,-7,31518,1,1
100,101,Northrop Grumman,35667.0,-3.1,7005.0,119.7,42579.0,69811.9,-15,88000,1,1
101,102,3M,35355.0,9.9,5921.0,10.0,47072.0,84738.3,-6,95000,1,1
102,103,Travelers,34816.0,8.9,3662.0,35.8,120466.0,44129.4,-5,30492,1,1
103,104,Arrow Electronics,34477.0,20.2,1108.2,89.6,19535.5,7951.3,-2,20700,1,1
104,105,Honeywell International,34392.0,5.4,5542.0,16.0,64470.0,133381.0,-11,99000,1,1
105,106,Dollar General,34220.4,1.4,2399.2,-9.6,26327.4,50953.0,-15,163000,1,1
106,107,Qualcomm,33566.0,42.6,9043.0,74.0,41240.0,172228.1,17,45000,1,0
107,108,Capital One Financial,32033.0,1.2,12390.0,356.5,432381.0,53260.4,-9,50767,1,1
108,109,TD Synnex,31614.2,28.1,395.1,-25.3,27666.4,9853.6,8,27000,1,0
109,110,Philip Morris International,31405.0,9.4,9109.0,13.1,41290.0,145614.7,-9,69600,1,1
110,111,World Fuel Services,31337.0,53.9,73.7,-32.8,5942.4,1715.5,36,4414,1,0
114,115,Netflix,29697.8,18.8,5116.2,85.3,44584.7,166304.1,-,11300,1,1
115,116,Paramount Global,29579.0,13.0,4543.0,87.6,58620.0,24628.8,-7,25115,1,1
117,118,Danaher,29453.0,32.2,6433.0,76.4,83184.0,209993.4,12,79000,1,0
118,119,Jabil,29285.0,7.4,696.0,1191.0,16654.0,8857.3,-15,238000,1,1
119,120,Starbucks,29060.6,23.6,4199.3,352.4,31392.6,104642.8,5,383000,1,0
120,121,Mondelez International,28720.0,8.0,4300.0,21.0,67092.0,87159.2,-13,79000,1,1
121,122,Eli Lilly,28318.4,15.4,5581.7,-9.9,48806.0,272723.6,-4,35238,1,1
123,124,D.R. Horton,27774.2,36.7,4175.8,75.9,24015.9,26403.2,24,11788,1,0
124,125,Molina Healthcare,27771.0,43.0,659.0,-2.1,12209.0,19572.9,30,14000,1,0
125,126,CBRE Group,27746.0,16.5,1836.6,144.2,22073.5,30414.2,-4,105000,1,1
126,127,Micron Technology,27705.0,29.3,5861.0,118.1,58849.0,86977.2,8,43000,1,0
127,128,Broadcom,27450.0,14.9,6736.0,127.6,75570.0,257086.5,-7,20000,1,1
128,129,Gilead Sciences,27305.0,10.6,6225.0,4961.0,67952.0,74656.5,-13,14400,1,1
130,131,Lennar,27130.7,20.6,4430.1,79.7,33207.8,23413.0,-2,10753,1,1
132,133,NRG Energy,26989.0,196.8,2187.0,328.8,23182.0,9289.0,200,6635,1,0
133,134,Nvidia,26914.0,61.4,9752.0,125.1,44187.0,684878.6,50,22473,1,0
135,136,Salesforce,26492.0,24.7,1444.0,-64.5,95209.0,210196.8,1,73541,1,0
136,137,Dollar Tree,26321.2,3.2,1327.9,-1.0,21721.8,36051.4,-26,136226,1,1
137,138,KKR,26141.3,171.5,4666.5,133.0,264285.4,51542.9,178,3238,1,0
138,139,Kraft Heinz,26042.0,-0.5,1012.0,184.3,93394.0,48248.6,-29,36000,1,1
139,140,Amgen,25979.0,2.2,5893.0,-18.9,61165.0,134700.8,-28,24200,1,1
140,141,AutoNation,25844.0,26.7,1373.0,259.8,8943.6,6111.4,4,22200,1,0
141,142,Penske Automotive Group,25554.7,25.0,1187.8,118.5,13464.6,7196.7,1,24797,1,0
142,143,PayPal Holdings,25371.0,18.3,4169.0,-0.8,75803.0,134732.8,-9,30900,1,1
144,145,Duke Energy,24677.0,5.2,3908.0,183.8,169587.0,85967.0,-19,27605,1,1
146,147,Visa,24105.0,10.3,12311.0,13.3,82896.0,480022.5,-14,21500,1,1
148,149,Cummins,24021.0,21.3,2131.0,19.1,23710.0,29140.9,1,59900,1,0
149,150,U.S. Bancorp,23714.0,-6.0,7963.0,60.6,573284.0,78929.8,-37,68796,1,1
150,151,Paccar,23522.3,25.6,1852.1,42.6,29301.7,30619.7,8,28500,1,0
151,152,McDonald's,23222.9,20.9,7545.2,59.5,53854.3,183873.6,5,200000,1,0
152,153,Southern,23113.0,13.4,2393.0,-23.3,127534.0,76877.0,-7,27164,1,1
153,154,C.H. Robinson Worldwide,23102.1,42.5,844.2,66.7,7028.1,13855.8,37,16877,1,0
154,155,Truist Financial,23064.0,-5.6,6440.0,43.7,541241.0,75353.9,-36,51462,1,1
155,156,Applied Materials,23063.0,34.1,5888.0,62.7,25825.0,116431.4,20,27000,1,0
156,157,Freeport-McMoRan,22845.0,60.9,4306.0,618.9,48022.0,72360.8,58,24700,1,0
157,158,Lithia Motors,22831.7,74.0,1060.0,125.4,11146.9,8909.8,73,21150,1,0
158,159,Blackstone,22577.1,270.0,5857.4,460.3,41196.4,88907.2,295,3795,1,0
159,160,Hartford Financial Services Group,22390.0,9.1,2365.0,36.2,76578.0,23815.6,-18,18100,1,1
160,161,Aflac,22106.0,-0.2,4325.0,-9.5,157542.0,41812.8,-30,12447,1,1
161,162,Whirlpool,21985.0,13.0,1783.0,64.9,20285.0,10101.2,-8,69000,1,1
162,163,Union Pacific,21804.0,11.6,6523.0,21.9,63525.0,171681.6,-10,32124,1,1
163,164,International Paper,21780.0,5.8,1752.0,263.5,25243.0,17301.1,-23,38200,1,1
164,165,Altria Group,21111.0,1.3,2475.0,-44.6,39523.0,94951.7,-27,6000,1,1
165,166,CDW,20820.8,12.7,988.6,25.4,13199.4,24140.2,-5,13900,1,1
166,167,ManpowerGroup,20724.4,15.1,382.4,1506.7,9828.9,5025.6,-2,30000,1,1
168,169,Carrier Global,20613.0,18.1,1664.0,-16.0,26172.0,39127.4,2,58000,1,0
172,173,Becton Dickinson,20248.0,18.3,2092.0,139.4,53866.0,75749.1,4,75000,1,0
173,174,CarMax,20092.1,-6.2,746.9,-15.9,21541.5,15598.9,-38,26889,1,1
174,175,Sherwin-Williams,19944.6,8.6,1864.4,-8.2,20666.7,65037.9,-13,61626,1,1
175,176,Builders FirstSource,19893.9,132.4,1725.4,450.3,10714.3,11408.9,174,28000,1,0
176,177,Marsh & McLennan,19820.0,15.1,3143.0,55.9,34388.0,85681.3,-2,83000,1,1
177,178,PNC Financial Services Group,19698.0,-18.1,5674.0,-24.5,557191.0,77203.4,-58,58547,1,1
180,181,Tenet Healthcare,19485.0,10.5,914.0,129.1,27579.0,9387.6,-14,88968,1,1
181,182,Kimberly-Clark,19440.0,1.6,1814.0,-22.9,17837.0,41496.1,-24,45000,1,1
183,184,BlackRock,19374.0,19.6,5901.0,19.6,152648.0,116186.2,8,18400,1,0
184,185,Jones Lang LaSalle,19367.0,16.7,961.6,138.9,15505.0,11945.5,1,98200,1,0
185,186,Lear,19263.1,13.0,373.9,135.9,13352.4,8513.1,-7,160100,1,1
186,187,Lincoln National,19230.0,10.3,1405.0,181.6,387301.0,11271.6,-15,10848,1,1
187,188,Charles Schwab,18996.0,56.9,5855.0,77.5,667270.0,159675.9,63,33400,1,0
188,189,Ross Stores,18916.2,50.9,1722.6,1917.5,13640.3,31741.7,53,100000,1,0
189,190,Mastercard,18884.0,23.4,8687.0,35.5,37669.0,349330.5,11,24000,1,0
193,194,Cognizant Technology Solutions,18507.0,11.1,2137.0,53.5,17852.0,47035.0,-9,330600,1,1
195,196,Steel Dynamics,18408.9,91.7,3214.1,483.5,12531.2,15811.5,123,10640,1,0
197,198,Texas Instruments,18344.0,26.9,7769.0,38.9,24676.0,169329.6,12,31000,1,0
198,199,Emerson Electric,18236.0,8.6,2303.0,17.2,24715.0,58241.7,-18,86700,1,1
199,200,WESCO International,18217.5,47.8,465.4,362.8,12617.7,6598.5,45,18000,1,0
200,201,General Mills,18127.0,2.8,2339.8,7.3,31841.9,40781.8,-32,35000,1,1
202,203,Waste Management,17931.0,17.8,1816.0,21.4,29097.0,65802.8,-1,48500,1,1
204,205,DISH Network,17881.1,15.4,2410.6,36.8,48001.7,16743.1,-8,14500,1,1
205,206,L3Harris Technologies,17814.0,-2.1,1846.0,65.0,34709.0,47969.6,-43,47000,1,1
207,208,Block,17661.2,86.0,166.3,-22.0,13925.8,78655.9,115,8521,1,0
210,211,Colgate-Palmolive,17421.0,5.8,2166.0,-19.6,15040.0,63742.2,-23,33800,1,1
211,212,Stanley Black & Decker,17252.7,18.7,1689.2,36.9,28180.0,22843.3,-3,71300,1,1
213,214,Stryker,17108.0,19.2,1994.0,24.7,34631.0,100978.1,-2,46000,1,1
214,215,NextEra Energy,17069.0,-5.2,3573.0,22.4,140912.0,166264.1,-49,15000,1,1
217,218,PPG Industries,16802.0,21.5,1439.0,35.9,21351.0,30951.9,2,49300,1,0
218,219,American Electric Power,16792.0,12.6,2488.1,13.1,87668.7,50338.6,-15,16688,1,1
220,221,BJ's Wholesale Club,16667.3,8.0,426.7,1.3,5668.9,9146.9,-23,34000,1,1
221,222,Reinsurance Group of America,16658.0,14.1,617.0,48.7,92175.0,7354.6,-15,3500,1,1
222,223,Kinder Morgan,16610.0,42.0,1784.0,1399.2,70416.0,42878.1,39,10529,1,0
223,224,Oneok,16540.3,93.6,1499.7,144.7,23621.6,31516.0,127,2847,1,0
224,225,Expeditors Intl. of Washington,16523.5,72.4,1415.5,103.3,7609.9,17268.8,74,19070,1,0
225,226,Advanced Micro Devices,16434.0,68.3,3162.0,27.0,12419.0,177936.1,83,15500,1,0
226,227,Fiserv,16226.0,9.3,1334.0,39.2,76249.0,66132.8,-22,44000,1,1
227,228,Estée Lauder,16215.0,13.4,2870.0,319.6,21971.0,97672.1,-15,53320,1,1
228,229,Bank of New York Mellon,16158.0,-4.6,3759.0,3.9,444438.0,40056.7,-49,49100,1,1
229,230,Laboratory Corp. of America,16120.9,15.3,2377.3,52.8,20385.4,24625.8,-12,71725,1,1
230,231,Regeneron Pharmaceuticals,16071.7,89.1,8075.3,129.9,25434.8,75806.0,123,10368,1,0
234,235,Adobe,15785.0,22.7,4822.0,-8.3,27241.0,215280.5,-1,25988,1,1
235,236,Synchrony Financial,15752.0,-4.4,4221.0,204.8,95748.0,18145.5,-49,18000,1,1
236,237,Corteva,15655.0,10.1,1759.0,158.3,42344.0,41774.9,-23,21000,1,1
237,238,Fidelity National Financial,15643.0,45.1,2422.0,69.7,60690.0,13849.6,50,28290,1,0
238,239,DTE Energy,15369.0,26.2,907.0,-33.7,39719.0,25614.6,11,10300,1,0
239,240,Murphy USA,15318.8,61.2,396.9,2.8,4048.2,4888.6,82,10430,1,0
241,242,Automatic Data Processing,15005.4,2.8,2598.5,5.4,48772.5,95577.1,-34,56000,1,1
242,243,Edison International,14905.0,9.8,759.0,2.7,74745.0,26693.8,-17,13003,1,1
243,244,BorgWarner,14838.0,46.0,537.0,7.4,16575.0,9335.0,51,49300,1,0
248,249,AutoZone,14629.6,15.8,2170.3,25.2,14516.2,40582.6,-11,85050,1,1
249,250,Lam Research,14626.2,45.6,3908.5,73.6,15892.2,74996.7,54,14100,1,0
251,252,Illinois Tool Works,14455.0,15.0,2694.0,27.7,16077.0,65311.9,-12,45000,1,1
252,253,Parker-Hannifin,14347.6,4.8,1746.1,44.7,20341.2,36456.8,-30,54640,1,1
253,254,Otis Worldwide,14298.0,12.1,1246.0,37.5,12279.0,32700.9,-18,70000,1,1
254,255,Omnicom Group,14289.4,8.5,1407.8,48.9,28421.8,17565.7,-26,71700,1,1
255,256,Principal Financial,14262.7,-3.2,1710.6,22.6,304657.2,19176.7,-50,18600,1,1
257,258,Kellogg,14181.0,3.0,1488.0,18.9,18178.0,21890.2,-36,31000,1,1
260,261,Reliance Steel & Aluminum,14093.3,59.9,1413.0,282.8,9536.0,11313.5,82,13950,1,0
261,262,Jacobs Engineering Group,14092.6,3.8,477.0,-3.0,14632.6,17807.4,-37,53500,1,1
262,263,Corning,14082.0,24.6,1906.0,272.3,30154.0,31212.8,14,61200,1,0
264,265,Qurate Retail,14044.0,-0.9,340.0,-71.8,16249.0,1807.4,-49,26745,1,1
266,267,PulteGroup,13926.9,26.2,1946.3,38.3,13352.6,10115.7,17,6182,1,0
267,268,Fidelity National Information Services,13877.0,10.6,417.0,163.9,82931.0,61215.1,-27,65000,1,1
268,269,IQVIA Holdings,13874.0,22.1,966.0,246.2,24689.0,44140.8,6,79000,1,0
270,271,Berry Global Group,13850.0,18.3,733.0,31.1,17882.0,7832.4,-10,47000,1,1
271,272,Ball,13811.0,17.2,878.0,50.1,19714.0,28909.1,-12,24300,1,1
272,273,Group 1 Automotive,13801.7,27.2,552.1,92.7,5749.4,2859.9,13,13711,1,0
273,274,Leidos Holdings,13737.0,11.7,753.0,19.9,13261.0,14727.7,-26,43000,1,1
274,275,Wayfair,13708.0,-3.1,-131.0,-170.8,4570.0,11641.6,-58,16681,0,1
275,276,Consolidated Edison,13676.0,11.7,1346.0,22.3,63116.0,33525.3,-27,13871,1,1
276,277,Ameriprise Financial,13443.0,12.4,2760.0,79.9,175979.0,33213.0,-24,12000,1,1
277,278,Xcel Energy,13431.0,16.5,1597.0,8.4,57851.0,39275.9,-6,11321,1,1
278,279,O'Reilly Automotive,13327.6,14.8,2164.7,23.5,11718.7,45410.4,-11,76158,1,1
279,280,Global Partners,13248.3,59.2,60.8,-40.5,2831.2,927.1,81,2960,1,0
280,281,Discover Financial Services,13221.0,2.1,5449.0,377.6,110242.0,31076.7,-48,16700,1,1
281,282,Rocket Companies,13175.6,-17.6,308.2,55.7,32774.9,21905.9,-88,26000,1,1
282,283,LKQ,13088.5,12.6,1090.9,70.9,12606.2,12941.4,-17,46000,1,1
283,284,W.W. Grainger,13022.0,10.4,1043.0,50.1,6592.0,26358.0,-26,23450,1,1
284,285,Quanta Services,12980.2,15.9,486.0,9.1,12855.2,18779.5,-7,43700,1,1
285,286,Crown Holdings,12979.0,12.1,-560.0,-196.7,13858.0,15460.6,-17,26000,0,1
286,287,Fox,12909.0,4.9,2150.0,115.2,22926.0,21423.2,-40,9000,1,1
287,288,Sempra,12857.0,7.7,1317.0,-66.5,72045.0,53087.6,-33,15390,1,1
288,289,Markel,12846.4,32.0,2425.0,197.2,48448.9,20037.5,22,20300,1,0
290,291,XPO Logistics,12806.0,-21.2,336.0,205.5,8707.0,8356.9,-101,44700,1,1
291,292,Baxter International,12784.0,9.5,1284.0,16.5,33521.0,39017.9,-28,60000,1,1
293,294,Tractor Supply,12731.1,19.9,997.1,33.1,7767.5,26171.6,-3,34000,1,1
294,295,Andersons,12728.8,55.1,104.0,1248.7,4569.2,1708.2,71,2334,1,0
295,296,Keurig Dr Pepper,12683.0,9.2,2146.0,62.0,50598.0,53748.2,-29,27500,1,1
296,297,Universal Health Services,12642.1,9.4,991.6,5.0,13093.5,10843.1,-27,78850,1,1
297,298,CSX,12522.0,18.3,3781.0,36.7,40531.0,81587.8,-6,20919,1,1
298,299,Henry Schein,12401.0,22.6,631.2,56.3,8481.1,11960.1,-1,21600,1,1
300,301,eBay,12394.0,9.2,13608.0,140.1,26626.0,33641.9,-25,10800,1,1
301,302,Textron,12382.0,6.3,746.0,141.4,15827.0,16090.6,-37,33000,1,1
303,304,Community Health Systems,12368.0,4.9,230.0,-55.0,15217.0,1598.6,-45,58500,1,1
